border_fraction,attended_pixel_count,overlap_precision,overlap_recall,chance_precision,enrichment,fold,dataset,patient_id,slice_index
0.36,102400,,,,,2,NIH,nih_00030,1
0.36,102400,,,,,2,NIH,nih_00053,158
0.36,102400,,,,,2,NIH,nih_00022,166
0.36,102400,,,,,2,NIH,nih_00022,133
0.36,102400,,,,,3,NIH,nih_00064,19
0.3810546875,20480,,,,,3,NIH,nih_00064,176
0.36,102400,,,,,3,NIH,nih_00048,223
0.36,102400,,,,,3,NIH,nih_00054,99
0.26484375,20480,,,,,3,NIH,nih_00002,99
0.22020409159708998,20481,,,,,3,NIH,nih_00042,72
0.19510766075875202,20481,,,,,3,NIH,nih_00042,148
0.36,102400,,,,,3,NIH,nih_00043,53
0.1302352826320414,20486,,,,,3,NIH,nih_00042,20
0.00986328125,20480,,,,,3,NIH,nih_00002,115
0.36,102400,,,,,3,NIH,nih_00050,169
0.36,102400,,,,,3,NIH,nih_00043,130
0.180908203125,20480,,,,,3,NIH,nih_00035,86
0.36,102400,,,,,3,NIH,nih_00011,145
0.36,102400,,,,,3,NIH,nih_00008,124
0.36,102400,,,,,3,NIH,nih_00011,113
0.36,102400,,,,,3,NIH,nih_00012,94
0.36,102400,,,,,3,NIH,nih_00021,151
0.36,102400,,,,,3,NIH,nih_00075,39
0.36,102400,,,,,3,NIH,nih_00050,73
0.36,102400,,,,,4,NIH,nih_00024,187
0.313916015625,20480,,,,,4,NIH,nih_00051,94
0.36,102400,,,,,4,NIH,nih_00031,26
0.05351301205995801,20481,,,,,4,NIH,nih_00028,121
0.25849609375,20480,,,,,4,NIH,nih_00028,154
0.458349609375,20480,,,,,4,NIH,nih_00059,189
0.023631658610419413,20481,,,,,4,NIH,nih_00076,74
0.07992773790342268,20481,,,,,4,NIH,nih_00031,153
0.050927734375,20480,,,,,4,NIH,nih_00076,223
0.36,102400,,,,,4,NIH,nih_00013,134
0.36,102400,,,,,4,NIH,nih_00031,14
0.212841796875,20480,,,,,4,NIH,nih_00070,74
0.31455078125,20480,,,,,4,NIH,nih_00059,60
0.031494140625,20480,,,,,4,NIH,nih_00034,212
0.36,102400,,,,,4,NIH,nih_00014,108
0.2578125,20480,,,,,4,NIH,nih_00014,93
0.323828125,20480,,,,,4,NIH,nih_00069,202
0.13535264852209541,20502,,,,,4,NIH,nih_00034,147
0.0,20480,,,,,4,NIH,nih_00076,28
0.0026365900102534056,20481,,,,,4,NIH,nih_00031,170
